landing,roiID,basin,ISO3,continent,initialDamage,subsequentDamage,initialResistance,reactRate,recoverRate,fullRecovery,lon,lat,preEVI,patchSize,coastDistM,speed,trackDist,localWind,bathymetry_mean,alphaDiversity_mean,canopyHeight_mean,stormFreq_mean,totalPrec_value,diversity
Alberto2018_2018146N19273_2018052612,15,NAt,CUB,North America,-0.025126824,-0.284060507,1.025126824,-0.094686836,0.327188865,Y,-84.39736837,22.31610798,0.301360618,1846071.794,4.028490122,25.928,98090.04985,69.95621543,0.000312333,3,5.52848723,0.050000001,190.2573284,3
Alessia2013_2013324S11113_2013112306,6,SI,AUS,Oceania,0.158480085,0,0.841519915,NA,0.249279934,Y,124.8831434,-15.2110129,0.248648091,962809.9071,233.126671,21.6684,74964.88799,63.96866468,-0.000667303,21,7.051181102,0.300000012,60.68058895,21
Alessia2013_2013324S11113_2013112306,8,SI,AUS,Oceania,0.086296687,-0.25317395,0.913703313,-0.042195658,0.037160631,Y,124.8831434,-15.39067595,0.302711751,961984.2819,4189.764247,21.6684,94672.62566,61.31843669,-0.003744238,21,0,0.300000012,77.68343183,21
Alessia2013_2013324S11113_2013112306,11,SI,AUS,Oceania,0.085508759,-0.053702786,0.914491241,-0.026851393,0.149796441,Y,124.9100928,-15.32779388,0.283487871,962274.3271,2349.465696,21.6684,88279.18939,62.11816215,-0.004754188,21,1.019685039,0.300000012,96.05560993,21
Alessia2013_2013324S11113_2013112306,38,SI,AUS,Oceania,0.247703732,0,0.752296268,NA,0.094260698,Y,125.1930623,-15.20652127,0.288275078,1925660.847,5912.746722,21.6684,87254.87023,40.58286505,-0.003386111,21,0,0.025,325.6906394,21
Alessia2013_2013324S11113_2013112306,40,SI,AUS,Oceania,0.100893273,-0.305669162,0.899106727,-0.152834581,0.523669243,Y,125.2188891,-15.11556674,0.264528961,7706014.292,1581.635267,21.6684,80682.61009,41.4723565,-0.000847427,21,2.543222004,0.025,958.4381726,21
Alessia2013_2013324S11113_2013112306,61,SI,AUS,Oceania,0.171719315,0,0.828280685,NA,0.101069067,Y,125.4041662,-15.13016452,0.386333577,963178.3503,280.2406585,21.6684,95530.55215,39.54660766,-0.00076591,21,2.5,0.025,106.6820047,21
Alessia2013_2013324S11113_2013112306,63,SI,AUS,Oceania,0.103873931,-0.023921564,0.896126069,-0.011960782,0.28292545,Y,125.4131491,-15.16310284,0.278726471,2889085.427,329.0227708,21.6684,98738.95424,39.16749009,-0.000643983,21,0,0.025,360.0863102,21
Alessia2013_2013324S11113_2013112306,64,SI,AUS,Oceania,0.074383294,-0.044720084,0.925616706,-0.022360042,0.216473416,Y,125.4086578,-15.1840641,0.274194247,3851731.832,2648.341588,21.6684,100020.5694,39.01933654,-0.000836623,21,5.729146222,0.025,495.3342345,21
Alessia2013_2013324S11113_2013112306,65,SI,AUS,Oceania,0.119306609,-0.187655523,0.880693391,-0.093827761,0.482081449,Y,125.4266241,-15.13016465,0.338535228,1926356.71,326.9508971,21.6684,97324.95358,39.3331029,-0.000793744,21,0,0.025,213.7840174,21
Alessia2013_2013324S11113_2013112306,72,SI,AUS,Oceania,0.039680824,-0.152634975,0.960319176,-0.076317488,0.257057876,Y,125.4850146,-15.13914767,0.272321593,963137.5068,326.791494,21.6684,102744.6504,38.71042569,-0.001502344,21,7.452755906,0.025,112.5524399,21
Alessia2013_2013324S11113_2013112306,77,SI,AUS,Oceania,-0.029827065,-0.301696964,1.029827065,-0.150848482,0.260388758,Y,125.6467114,-14.6001585,0.23883898,965546.1716,7429.193609,21.6684,50439.80714,44.82809406,-0.002925659,21,0,0.100000001,82.90346631,21
Alessia2013_2013324S11113_2013112306,81,SI,AUS,Oceania,0.210362099,-0.028947032,0.789637901,-0.014473516,0.367676935,Y,125.6556945,-14.40252914,0.16237187,966407.9511,404.7902099,21.6684,28514.86724,50.92081628,-0.000177475,21,5.480314961,0.100000001,59.09255523,21
Alessia2013_2013324S11113_2013112306,92,SI,AUS,Oceania,-0.06703983,-0.198307968,1.06703983,-0.099153984,0.268936487,Y,125.7006106,-14.55299684,0.256039175,3862993.036,7874.080284,21.6684,44861.45108,46.22962245,-0.00067501,21,5.038272816,0.100000001,309.4491753,21
Alessia2013_2013324S11113_2013112306,95,SI,AUS,Oceania,-0.046017818,-0.19333547,1.046017818,-0.096667735,0.246962333,Y,125.7185766,-14.49236067,0.224802949,966017.6579,746.6805362,21.6684,38164.04936,48.05758069,-0.000807511,21,0,0.100000001,66.59834979,21
Alessia2013_2013324S11113_2013112306,114,SI,AUS,Oceania,0.150497588,0,0.849502412,NA,0.151156274,Y,126.0599364,-14.53278476,0.249630412,1931682.496,251.2487691,21.6684,57642.54411,43.17326324,0.000272566,21,0.26719057,0.050000001,125.8035937,21
