"landing","trackDist","coastDist","category","side","mangrovePxl","ID","stormName","stormYear","intensity","basin","preEVI","bathymetry_mean","center_centerLon","center_centerLat","totalPrec_total","elevation_mean","stormFrequency_mean","landingYear","landingMonth","landingDay","landingDOY","landingLat","landingLon","landingWindMax","landingSpeed","landingSpeed0","landingPressure","landingWindMaxRMW","landingCat","landingWindMaxLocal","landingWindMaxLocal2","ISO3Fixed","incomeFixed","continent","country","ISO3","income","region"
"Alex2010_2010176N16278_2010062700",85,5,"c2","wl",17,"2010176N16278","Alex",2010,0.326449240502359,"NAt",0.42797612259404,0.000471808054841474,-88.2915651307152,16.7196039439448,139.03685169407,0,0.0714285746216774,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",54.3407082898818,45.1272962579337,1,1,"North America","Belize","BLZ","UMC","Central America"
"Alex2010_2010176N16278_2010062700",95,5,"c2","wl",17,"2010176N16278","Alex",2010,0.146292902777285,"NAt",0.394674756483621,0.00051946975973488,-88.3634303534354,16.6297724154059,190.12960543165,7.21653543307087,0.0714285746216774,2010,6,27,178,17.5,-88.2,89.6368,18.4268240638962,18.52,995,15,"TC",51.5553742794085,42.3419622474604,1,1,"North America","Belize","BLZ","UMC","Central America"
"Amphan2020_2020136N10088_2020052012",10,5,"c4","sr",6,"2020136N10088","Amphan",2020,0.490543617511911,"NI",0.314496800119369,0.001042502299908,88.3262021351014,21.6483560944062,434.932665859484,3.11606557377049,0.119047619402409,2020,5,20,141,22.05,88.35,138.5296,30.5635080286878,29.632,957,10,"h2",135.42871387167,150.710467886014,0,0,"Asia","India","IND","LMC","Southern Asia"
"Amphan2020_2020136N10088_2020052012",40,5,"c4","sr",6,"2020136N10088","Amphan",2020,0.267355114741054,"NI",0.276020530688382,0.000521888755502201,88.7078364091418,21.8428368063016,857.642914242887,2.99541134054408,0.108210934358987,2020,5,20,141,22.05,88.35,138.5296,30.5635080286878,29.632,957,10,"h2",103.415852129329,118.697606143673,0,0,"Asia","India","IND","LMC","Southern Asia"
"Amphan2020_2020136N10088_2020052012",45,5,"c4","sr",6,"2020136N10088","Amphan",2020,0.283800203110809,"NI",0.274759050214295,0.000783023464546737,88.7586282195039,21.8309539780677,993.957519157493,3.8,0.115655797368111,2020,5,20,141,22.05,88.35,138.5296,30.5635080286878,29.632,957,10,"h2",98.7044315159702,113.986185530314,0,0,"Asia","India","IND","LMC","Southern Asia"
"Amphan2020_2020136N10088_2020052012",50,10,"c4","sr",6,"2020136N10088","Amphan",2020,0.256956684304943,"NI",0.2916149839635,0.00153193046660567,88.928074120387,22.1364445360353,129.616432869292,4.28094302554027,0.0714285746216774,2020,5,20,141,22.05,88.35,138.5296,30.5635080286878,29.632,957,10,"h2",94.5512014777943,109.832955492138,0,0,"Asia","India","IND","LMC","Southern Asia"
"Amphan2020_2020136N10088_2020052012",50,5,"c4","sr",6,"2020136N10088","Amphan",2020,0.234551852796308,"NI",0.25298485524276,0.00153193046660567,88.8012257583718,21.8139452670756,1174.349321622,3.95718654434251,0.119047619402409,2020,5,20,141,22.05,88.35,138.5296,30.5635080286878,29.632,957,10,"h2",94.5512014777943,109.832955492138,0,0,"Asia","India","IND","LMC","Southern Asia"
"Belna2019_2019336S06055_2019120918",10,5,"c3","wl",2,"2019336S06055","Belna",2019,0.206360931740351,"SI",0.231252258678105,0.000724014022787029,44.7938442115869,-16.2485676561198,114.906260264154,7.31630648330059,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",140.783145937392,132.699982935689,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",20,5,"c3","wl",2,"2019336S06055","Belna",2019,0.22093373881472,"SI",0.266495651629365,0.000296377422072452,44.7309621417207,-16.2126344771771,59.9505429361381,5.51181102362205,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",130.154514297813,122.07135129611,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",20,5,"c3","sr",2,"2019336S06055","Belna",2019,0.3405026426597,"SI",0.265387533277378,0.00148337187302922,45.2879176178565,-16.0778835309511,93.8419176344778,3.88188976377953,0,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",130.154514297813,138.237677299515,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
