"sampleID","obs_std","pred_en","pred_en_upr","pred_en_lwr","pred_en_rcl","pred_en_upr_rcl","pred_en_lwr_rcl","obs","Y","scale","pred_en_OOB","pred_en_OOB_lwr","pred_en_OOB_upr","pred_en_OOB_rcl","pred_en_OOB_upr_rcl","pred_en_OOB_lwr_rcl"
1,-0.563484468693165,-0.140280797947873,0.652578613224148,-0.933140209119894,0.231154620809617,0.329615376070227,0.16210547990411,0.191269706,"damage","log10",0.67273723460542,-0.113147110706536,1.45862157991737,0.332602579108776,0.472797074252198,0.233978765212917
2,-0.718760229693432,-0.966336714466856,-0.175056763413509,-1.7576166655202,0.159714896908143,0.22758483276691,0.112085010166317,0.178429175,"damage","log10",-0.957143643872436,-1.73731566462001,-0.176971623124863,0.160373366373762,0.227389879686182,0.113108009369406
3,-0.304019491711765,-0.103927208783808,0.686988641492462,-0.894843059060078,0.234946229573516,0.334730742589375,0.164907861058124,0.214821305,"damage","log10",-0.311647872610158,-1.07772968800064,0.454433942780321,0.214089147548971,0.301644133187263,0.151947802246134
4,0.500389243837628,0.327099596034639,1.11853465593777,-0.464335463868487,0.284934751266425,0.406044336935357,0.199948146283801,0.307912294,"damage","log10",0.571445535959845,-0.219170786624944,1.36206185854463,0.317861518635394,0.452800457655411,0.223135695472483
5,1.30237842263956,1.22073161708819,2.01210271318627,0.429360520990108,0.425047110935407,0.605693166656655,0.298278165348609,0.440865819,"damage","log10",-0.241392423500714,-1.02042112423415,0.537636277232725,0.220927572652586,0.313088117136499,0.155895384355594
6,0.127060280182802,0.0703278267454659,0.861487413542513,-0.720831760051581,0.254002345908269,0.361919699717337,0.178263829731548,0.260534107,"damage","log10",-0.898581662148038,-1.65503571415492,-0.142127610141155,0.164632169578047,0.230963643509125,0.1173507260631
7,-0.0478173187441353,-0.293763553683219,0.497079898552525,-1.08460700591896,0.215809598015674,0.307456589367944,0.151480840568196,0.24092082,"damage","log10",-0.00457950043238996,-0.753367683992282,0.744208683127503,0.245628238012947,0.34341339380202,0.175686890488982
8,-1.07659944503567,-0.892219804581567,-0.0982251873108323,-1.6862144218523,0.165101580248876,0.235546556038613,0.11572460348861,0.152024682,"damage","log10",-0.759516477342196,-1.5364742282141,0.0174412735297094,0.175204089960873,0.248060938139662,0.123745694784622
9,0.436605369412397,0.649750213365677,1.44163262775579,-0.142132201024439,0.329198401730133,0.469215884881825,0.230963168966387,0.299246869,"damage","log10",0.803576036563582,0.0303561740038675,1.5767958991233,0.352660015561502,0.49847553228315,0.249498879124911
10,0.176677041121969,0.272750830811416,1.06366992008974,-0.518168258466905,0.278087757441109,0.396195574865537,0.19518845172582,0.266384159,"damage","log10",0.0378524089035281,-0.734308107063516,0.810012924870572,0.250337327639911,0.353677420416343,0.177191909893823
11,-0.855005632703064,-1.10190463045472,-0.310533261375829,-1.89327599953361,0.150312686499507,0.214195969940961,0.105482394131536,0.167874371,"damage","log10",-0.901846663687159,-1.65788005284683,-0.145813274527483,0.164391779393021,0.230582983566835,0.11720143747802
12,-0.0598347245225324,-0.460463214931247,0.330017890394123,-1.25094432025662,0.200294957333706,0.285307137878492,0.14061362162764,0.239628549,"damage","log10",0.0384777530712287,-0.717728621453381,0.794684127595839,0.250407399136556,0.351259386031764,0.178511573030719
13,0.631012082633356,-0.0150243701577357,0.775798891227524,-0.805847631542995,0.244482718329362,0.348303060625489,0.171608596991294,0.326449241,"damage","log10",-0.614454827512908,-1.37869132214233,0.14978166711651,0.186955948276243,0.263196948583469,0.132799892947028
14,-1.16247273956985,-0.686939941609588,0.103757781065641,-1.47763766428482,0.180988361515996,0.257831142440146,0.127047441570598,0.146292903,"damage","log10",0.519151318396988,-0.260212627664035,1.29851526445801,0.310508674991013,0.440104249672193,0.219074542716842
15,1.54095518001116,0.502893418175022,1.29507281219946,-0.289285975849411,0.308257573567988,0.439426725355063,0.2162424954587,0.490543618,"damage","log10",-0.168348116852122,-0.914884170185396,0.578187936481152,0.228269163840818,0.318822121365661,0.163435369344476
