ID,damage,damage_lwr,damage_upr,windSpeed,windSpeed5day,travelSpeed,rainfall,coastalSlope,coastDist
7678,0.427831666,0.299875869,0.610385672,111.8230716,68.26711832,28.00616555,593.4807988,0.010257201,5.087020455
7679,0.246976338,0.173144439,0.352291484,84.80680186,57.87332898,23.66718668,478.7220547,0.013488845,5.430311893
768,0.314396508,0.220161002,0.448967635,89.67022511,57.30738426,31.90662084,327.4962677,0.010471835,5.208825578
7680,0.291922824,0.204599035,0.4165168,133.381528,55.35213146,29.11818238,483.0661638,-0.00312221,5.70442055
7681,0.273941005,0.191999877,0.390852722,112.3142811,62.3223403,27.82662569,557.5567341,0.000553845,5.331933108
7682,0.242138605,0.169444111,0.346020311,107.9018149,60.65079996,32.48942439,554.1708069,0.010077316,5.208825578
7683,0.26139843,0.182888002,0.373611928,72.39853451,40.89822117,29.04319572,489.5818313,0.015717763,6.752631746
7684,0.24238459,0.16982913,0.345937647,104.1445395,60.64040767,20.80149474,465.6317562,0.024230839,5.428886633
7685,0.234674173,0.16455237,0.334677451,99.32607763,59.18247939,19.30410478,608.8196676,-0.00126223,5.540381178
7686,0.307411948,0.215583876,0.438354237,123.9416459,60.25445275,23.53745753,552.7618348,0.025153657,6.003442262
7687,0.277684428,0.194732356,0.395972417,128.9817988,52.55193914,23.57361294,445.2749231,0.01603221,5.454792291
7688,0.271454782,0.190327323,0.387163008,96.72114118,60.68515098,24.82246739,511.8111849,0.035041448,5.959771698
7689,0.279468714,0.195642188,0.399212269,78.8173385,51.2700981,27.66420901,473.9807851,0.006094325,7.873008871
769,0.221530015,0.155255846,0.316094684,54.16694477,37.55480547,28.46039217,262.9072921,0.016112282,6.752631746
7690,0.2690694,0.188382401,0.384315847,108.729088,66.98888686,28.00616555,649.6537746,0.009492435,5.087020455
7691,0.244597148,0.171442152,0.348967649,58.76857753,21.50468484,24.85025587,94.78508856,0.013582537,5.430311893
7692,0.274271553,0.192316336,0.391151819,107.3433037,18.98348731,30.30125157,99.12919772,-0.003028518,5.70442055
7693,0.183590962,0.128631554,0.262032451,86.27605679,25.95369615,29.00969488,173.619768,0.000647537,5.331933108
7694,0.31139662,0.218344492,0.444104883,81.86359053,24.28215582,33.67249358,170.2338408,0.010171008,5.208825578
7695,0.236889513,0.166068397,0.337912824,46.36031019,4.529577026,30.22626492,105.6448652,0.015811455,6.752631746
7696,0.16721991,0.117250226,0.238485666,78.1063152,24.27176353,21.98456393,81.69479005,0.024324531,5.428886633
7697,0.199354865,0.139702773,0.284477976,73.2878533,22.81383524,20.48717397,224.8827014,-0.001168538,5.540381178
